Post_ID,src_org,mentioned,is_own_org
DTYZ__3jMEy,giraffe_conservation,universitycollegecork,0
DTYZ__3jMEy,giraffe_conservation,inbac_oficial,0
DTOG1rZj1Wf,giraffe_conservation,naturalselectiontravel,0
DTOG1rZj1Wf,giraffe_conservation,nustnamibia,0
DTOG1rZj1Wf,giraffe_conservation,unam_na,0
DTOG1rZj1Wf,giraffe_conservation,ministry_of_environment_nam,1
DT8Hxp4DMQV,africat_foundation,pascal__ok,0
DTTQcXSDwcQ,giraffe_conservation,anthony_ochieng_onyango,0
DTTQcXSDwcQ,giraffe_conservation,tonywildke,0
DTlR_2oEp9y,giraffe_conservation,naturalselectiontravel,0
DU59lkXjDeX,africat_foundation,pascal__ok,0
DUlV2iNCOB0,africat_foundation,c1089,0
