Post_ID,hashtag,tag_class
DWa0GEIgUev,naankuse,branded
DWa0GEIgUev,naankusefoundation,branded
DWa0GEIgUev,conservation,generic
DWa0GEIgUev,careeropportunity,community_other
DWa0GEIgUev,careersuccess,community_other
DXpWrXrDEJt,cheetah,branded
DXpWrXrDEJt,cheetahsofinstagram,branded
DXpWrXrDEJt,cats,community_other
DXpWrXrDEJt,wildliferehab,community_other
DXpWrXrDEJt,ccfcheetah,branded
DW5xIWgllJY,naankuse,branded
DW5xIWgllJY,lifelineclinic,community_other
DU_ZzNqDJmc,giraffeconservationfoundation,branded
DU_ZzNqDJmc,giraffebeauty,branded
DU_ZzNqDJmc,tgif,community_other
DU_ZzNqDJmc,thankgiraffeitsfriday,campaign
DU_ZzNqDJmc,naturelovers,community_other
DU_ZzNqDJmc,wildlife,generic
DU_ZzNqDJmc,giraffelovers,branded
DU_ZzNqDJmc,giraffe,branded
DU_ZzNqDJmc,giraffecalf,branded
DU_ZzNqDJmc,giraffes,branded
DU_ZzNqDJmc,nature,generic
DU_ZzNqDJmc,gcf,community_other
DVMRx8yCMbB,giraffeconservationfoundation,branded
DVMRx8yCMbB,etosha,community_other
DVMRx8yCMbB,uniquegiraffe,branded
DVMRx8yCMbB,giraffemonitoring,branded
DVMRx8yCMbB,angolangiraffe,branded
DVMRx8yCMbB,wildlifeconservation,community_other
DVMRx8yCMbB,transboundarywildlife,community_other
DVMRx8yCMbB,protectedareas,community_other
DVMRx8yCMbB,giraffe,branded
DVMRx8yCMbB,giraffeconservation,branded
DVMRx8yCMbB,gcf,community_other
DWrjZUMCXX9,naankuse,branded
DWrjZUMCXX9,naankusefoundation,branded
DWrjZUMCXX9,kyknet,community_other
DWrjZUMCXX9,conservation,generic
DWrjZUMCXX9,hyenas,community_other
DWrjZUMCXX9,groennamibië,community_other
DVRbYULjY8q,giraffeconservationfoundation,branded
DVRbYULjY8q,giraffebeauty,branded
DVRbYULjY8q,tgif,community_other
DVRbYULjY8q,thankgiraffeitsfriday,campaign
DVRbYULjY8q,naturelovers,community_other
DVRbYULjY8q,wildlife,generic
DVRbYULjY8q,giraffelovers,branded
DVRbYULjY8q,giraffe,branded
DVRbYULjY8q,giraffes,branded
DVRbYULjY8q,nature,generic
DVRbYULjY8q,gcf,community_other
DVjc9hvjaPy,giraffeconservationfoundation,branded
DVjc9hvjaPy,giraffebeauty,branded
DVjc9hvjaPy,tgif,community_other
DVjc9hvjaPy,thankgiraffeitsfriday,campaign
DVjc9hvjaPy,naturelovers,community_other
DVjc9hvjaPy,wildlife,generic
DVjc9hvjaPy,giraffelovers,branded
DVjc9hvjaPy,giraffe,branded
DVjc9hvjaPy,wildlifebeauty,community_other
DVjc9hvjaPy,malegiraffe,branded
DVjc9hvjaPy,nature,generic
DVjc9hvjaPy,gcf,community_other
DXZhne-jWEN,cheetah,branded
DXZhne-jWEN,cheetahsofinstagram,branded
DXZhne-jWEN,cheetahconservation,branded
DXZhne-jWEN,wildliferehab,community_other
DXZhne-jWEN,ccfcheetah,branded
DSAiXtljEJ3,africat,branded
DSAiXtljEJ3,research,community_other
DSAiXtljEJ3,pangolin,community_other
DSAiXtljEJ3,conservation,generic
DSAiXtljEJ3,endangeredspecies,community_other
DVWk_9XDbv8,giraffeconservationfoundation,branded
DVWk_9XDbv8,voiceforgiraffe,branded
DVWk_9XDbv8,environmentaleducation,community_other
DVWk_9XDbv8,youngconservationists,community_other
DVWk_9XDbv8,wildlifeeducation,community_other
